type,exptIndex,SSE
Stelling,22,2061960.72392227
Stelling,3,15872306.6453806
Stelling,10,981535.27260317
Stelling,19,524965.148863242
Stelling,17,2860101.10311963
Stelling,15,3537626.1154977
Stelling,4,18683279.6695568
Stelling,14,504570.134983627
Stelling,6,2194707.53536504
Stelling,8,686676.201636557
Stelling,21,940677.272348604
Stelling,20,3058251.05970824
Stelling,13,321067.15978223
Stelling,24,2457511.09342139
Stelling,7,1758831.11062081
Stelling,11,997019.226519154
Stelling,16,7108715.47962421
Stelling,23,1772089.29998934
Stelling,2,3157977.91394388
Stelling,18,705632.485666853
Stelling,1,20699.6418566414
Stelling,12,1011395.04796306
Stelling,5,11296741.5662359
Stelling,9,605026.97377082
Us,22,1142006.15246888
Us,3,722626.529375579
Us,10,1884789.37106137
Us,19,810061.801355691
Us,17,1541734.79450597
Us,15,2797695.42692877
Us,4,1708353.569073
Us,14,574594.462683986
Us,6,375641.898589515
Us,8,881266.870922027
Us,21,462927.388422927
Us,20,2554046.97064472
Us,13,498841.71603802
Us,24,2151817.40735558
Us,7,1336877.0306193
Us,11,765465.37949444
Us,16,1766791.88522301
Us,23,905965.188279491
Us,2,862437.873269959
Us,18,1678835.20602719
Us,1,29979.8365194987
Us,12,1082863.47158516
Us,5,1147945.81976293
Us,9,1186818.22544841
IP,22,1558813.25770633
IP,3,440277.811982175
IP,10,766345.499652239
IP,19,1341753.83543692
IP,17,1455060.19598623
IP,15,2520683.55077417
IP,4,1421436.89639594
IP,14,3205085.36249562
IP,6,135773.198123851
IP,8,205900.77389389
IP,21,849666.491372312
IP,20,3618480.41071616
IP,13,1506680.55680079
IP,24,1655834.67866965
IP,7,591952.520296822
IP,11,734341.703512872
IP,16,1629712.33688988
IP,23,1129561.15232256
IP,2,286209.880698081
IP,18,2119755.2990986
IP,1,2282.23018503168
IP,12,787431.355529769
IP,5,811127.526976065
IP,9,540072.890837936
