HEADER DATE 27-Jul-2017 17:21:50
HEADER RANDSEED 1706641379
Param True_Value Sim_Value Sim_Time Input mRNA foldedP fluo
alpha2 0.010000 0.007029 0.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 5.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 10.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 15.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 20.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 25.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 30.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 35.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 40.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 45.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 50.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 55.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 60.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 65.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 70.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 75.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 80.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 85.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 90.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 95.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 100.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 105.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 110.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 115.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 120.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 125.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 130.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 135.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 140.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 145.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 150.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 155.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 160.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 165.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 170.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 175.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 180.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 185.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 190.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 195.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 200.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 205.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 210.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 215.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 220.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 225.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 230.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 235.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 240.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 245.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 250.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 255.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 260.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 265.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 270.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 275.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 280.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 285.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 290.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 295.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 300.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 305.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 310.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 315.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 320.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 325.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 330.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 335.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 340.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 345.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 350.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 355.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 360.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 365.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 370.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 375.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 380.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 385.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 390.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 395.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 400.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 405.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 410.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 415.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 420.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 425.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 430.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 435.000000 0.000000 0.001104 0.000647 0.000562
alpha2 0.010000 0.007029 440.000000 0.000000 0.001104 0.000647 0.000562
