ParamName True_Value Sim_Value InputType ResponseTime Interp_ResponseTime
alpha1 0.000033 0.000211 StepUp 985.000000 988.274521
alpha1 0.000033 0.000105 StepUp 985.000000 988.274521
alpha1 0.000033 0.000100 StepUp 985.000000 988.274521
alpha1 0.000033 0.000302 StepUp 990.000000 989.274799
alpha1 0.000033 0.000128 StepUp 985.000000 987.274243
alpha1 0.000033 0.000142 StepUp 985.000000 987.274243
alpha1 0.000033 0.000206 StepUp 985.000000 988.274521
alpha1 0.000033 0.000308 StepUp 990.000000 989.274799
alpha1 0.000033 0.000056 StepUp 990.000000 987.274243
alpha1 0.000033 0.000290 StepUp 990.000000 989.274799
alpha1 0.000033 0.000277 StepUp 990.000000 988.274521
alpha1 0.000033 0.000093 StepUp 985.000000 987.274243
alpha1 0.000033 0.000145 StepUp 985.000000 987.274243
alpha1 0.000033 0.000152 StepUp 985.000000 987.274243
alpha1 0.000033 0.000047 StepUp 990.000000 987.274243
alpha1 0.000033 0.000040 StepUp 990.000000 987.274243
alpha1 0.000033 0.000184 StepUp 985.000000 988.274521
alpha1 0.000033 0.000098 StepUp 985.000000 988.274521
alpha1 0.000033 0.000170 StepUp 985.000000 988.274521
alpha1 0.000033 0.000305 StepUp 990.000000 989.274799
alpha1 0.000033 0.000124 StepUp 985.000000 987.274243
alpha1 0.000033 0.000252 StepUp 990.000000 988.274521
alpha1 0.000033 0.000096 StepUp 985.000000 988.274521
alpha1 0.000033 0.000066 StepUp 985.000000 987.274243
alpha1 0.000033 0.000240 StepUp 990.000000 988.274521
alpha1 0.000033 0.000030 StepUp 990.000000 986.273965
alpha1 0.000033 0.000309 StepUp 990.000000 989.274799
alpha1 0.000033 0.000060 StepUp 990.000000 987.274243
alpha1 0.000033 0.000059 StepUp 990.000000 987.274243
alpha1 0.000033 0.000224 StepUp 985.000000 988.274521
alpha1 0.000033 0.000206 StepUp 985.000000 988.274521
alpha1 0.000033 0.000101 StepUp 985.000000 988.274521
alpha1 0.000033 0.000055 StepUp 990.000000 987.274243
alpha1 0.000033 0.000166 StepUp 985.000000 988.274521
alpha1 0.000033 0.000178 StepUp 985.000000 988.274521
alpha1 0.000033 0.000217 StepUp 985.000000 988.274521
alpha1 0.000033 0.000286 StepUp 990.000000 989.274799
alpha1 0.000033 0.000275 StepUp 990.000000 988.274521
alpha1 0.000033 0.000176 StepUp 985.000000 988.274521
alpha1 0.000033 0.000261 StepUp 990.000000 988.274521
alpha1 0.000033 0.000294 StepUp 990.000000 989.274799
alpha1 0.000033 0.000210 StepUp 985.000000 988.274521
alpha1 0.000033 0.000209 StepUp 985.000000 988.274521
alpha1 0.000033 0.000278 StepUp 990.000000 988.274521
alpha1 0.000033 0.000017 StepUp 990.000000 987.274243
alpha1 0.000033 0.000131 StepUp 985.000000 987.274243
alpha1 0.000033 0.000211 StepUp 985.000000 988.274521
alpha1 0.000033 0.000059 StepUp 990.000000 987.274243
alpha1 0.000033 0.000306 StepUp 990.000000 989.274799
alpha1 0.000033 0.000245 StepUp 990.000000 988.274521
alpha1 0.000033 0.000053 StepUp 990.000000 987.274243
alpha1 0.000033 0.000204 StepUp 985.000000 988.274521
alpha1 0.000033 0.000195 StepUp 985.000000 988.274521
alpha1 0.000033 0.000060 StepUp 990.000000 987.274243
alpha1 0.000033 0.000012 StepUp 990.000000 987.274243
alpha1 0.000033 0.000126 StepUp 985.000000 987.274243
alpha1 0.000033 0.000179 StepUp 985.000000 988.274521
alpha1 0.000033 0.000328 StepUp 990.000000 988.274521
alpha1 0.000033 0.000287 StepUp 990.000000 989.274799
alpha1 0.000033 0.000153 StepUp 985.000000 987.274243
alpha1 0.000033 0.000310 StepUp 990.000000 989.274799
alpha1 0.000033 0.000171 StepUp 985.000000 988.274521
alpha1 0.000033 0.000048 StepUp 990.000000 987.274243
alpha1 0.000033 0.000177 StepUp 985.000000 988.274521
alpha1 0.000033 0.000043 StepUp 990.000000 987.274243
alpha1 0.000033 0.000232 StepUp 990.000000 988.274521
alpha1 0.000033 0.000036 StepUp 990.000000 987.274243
alpha1 0.000033 0.000199 StepUp 985.000000 988.274521
alpha1 0.000033 0.000159 StepUp 985.000000 988.274521
alpha1 0.000033 0.000172 StepUp 985.000000 988.274521
alpha1 0.000033 0.000085 StepUp 985.000000 987.274243
alpha1 0.000033 0.000005 StepUp 990.000000 987.274243
alpha1 0.000033 0.000126 StepUp 985.000000 987.274243
alpha1 0.000033 0.000327 StepUp 990.000000 988.274521
alpha1 0.000033 0.000042 StepUp 990.000000 987.274243
alpha1 0.000033 0.000045 StepUp 990.000000 987.274243
alpha1 0.000033 0.000130 StepUp 985.000000 987.274243
alpha1 0.000033 0.000146 StepUp 985.000000 987.274243
alpha1 0.000033 0.000188 StepUp 985.000000 988.274521
alpha1 0.000033 0.000160 StepUp 985.000000 988.274521
alpha1 0.000033 0.000019 StepUp 990.000000 987.274243
alpha1 0.000033 0.000301 StepUp 990.000000 989.274799
alpha1 0.000033 0.000046 StepUp 990.000000 987.274243
alpha1 0.000033 0.000103 StepUp 985.000000 988.274521
alpha1 0.000033 0.000169 StepUp 985.000000 988.274521
alpha1 0.000033 0.000282 StepUp 990.000000 989.274799
alpha1 0.000033 0.000209 StepUp 985.000000 988.274521
alpha1 0.000033 0.000197 StepUp 985.000000 988.274521
alpha1 0.000033 0.000069 StepUp 985.000000 987.274243
alpha1 0.000033 0.000317 StepUp 990.000000 988.274521
alpha1 0.000033 0.000028 StepUp 990.000000 986.273965
alpha1 0.000033 0.000298 StepUp 990.000000 989.274799
alpha1 0.000033 0.000135 StepUp 985.000000 987.274243
alpha1 0.000033 0.000145 StepUp 985.000000 987.274243
