HEADER DATE 01-Aug-2017 13:00:36
HEADER RANDSEED 1748273964
Param True_Value Sim_Value Sim_Time Input mRNA foldedP fluo
Kb 0.002300 0.005160 0.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 5.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 10.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 15.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 20.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 25.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 30.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 35.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 40.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 45.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 50.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 55.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 60.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 65.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 70.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 75.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 80.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 85.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 90.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 95.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 100.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 105.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 110.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 115.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 120.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 125.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 130.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 135.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 140.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 145.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 150.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 155.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 160.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 165.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 170.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 175.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 180.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 185.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 190.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 195.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 200.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 205.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 210.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 215.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 220.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 225.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 230.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 235.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 240.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 245.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 250.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 255.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 260.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 265.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 270.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 275.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 280.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 285.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 290.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 295.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 300.000000 2.000000 1.380379 1.150316 0.445896
Kb 0.002300 0.005160 305.000000 0.000000 1.188257 1.145491 0.445879
Kb 0.002300 0.005160 310.000000 0.000000 1.022897 1.132296 0.445773
Kb 0.002300 0.005160 315.000000 0.000000 0.880569 1.112422 0.445504
