ParamName True_Value Sim_Value InputType ResponseTime Interp_ResponseTime
d1 0.030000 0.057660 StepDown 985.000000 984.273409
d1 0.030000 0.253947 StepDown 985.000000 983.273131
d1 0.030000 0.257011 StepDown 985.000000 983.273131
d1 0.030000 0.299890 StepDown 980.000000 983.273131
d1 0.030000 0.144077 StepDown 985.000000 983.273131
d1 0.030000 0.296931 StepDown 980.000000 983.273131
d1 0.030000 0.255530 StepDown 985.000000 983.273131
d1 0.030000 0.155693 StepDown 985.000000 983.273131
d1 0.030000 0.148570 StepDown 985.000000 983.273131
d1 0.030000 0.017447 StepDown 995.000000 995.276466
d1 0.030000 0.258551 StepDown 985.000000 983.273131
d1 0.030000 0.111801 StepDown 985.000000 983.273131
d1 0.030000 0.159594 StepDown 985.000000 983.273131
d1 0.030000 0.110487 StepDown 985.000000 983.273131
d1 0.030000 0.263053 StepDown 980.000000 983.273131
d1 0.030000 0.191287 StepDown 985.000000 983.273131
d1 0.030000 0.141111 StepDown 980.000000 983.273131
d1 0.030000 0.113821 StepDown 985.000000 983.273131
d1 0.030000 0.259520 StepDown 985.000000 983.273131
d1 0.030000 0.123454 StepDown 980.000000 983.273131
d1 0.030000 0.024712 StepDown 990.000000 989.274799
d1 0.030000 0.173983 StepDown 985.000000 983.273131
d1 0.030000 0.238506 StepDown 985.000000 982.272854
d1 0.030000 0.022749 StepDown 990.000000 990.275076
d1 0.030000 0.097331 StepDown 985.000000 983.273131
d1 0.030000 0.050295 StepDown 985.000000 985.273687
d1 0.030000 0.213648 StepDown 985.000000 983.273131
d1 0.030000 0.152868 StepDown 985.000000 983.273131
d1 0.030000 0.021163 StepDown 995.000000 991.275354
d1 0.030000 0.168862 StepDown 985.000000 983.273131
d1 0.030000 0.032524 StepDown 985.000000 986.273965
d1 0.030000 0.194855 StepDown 985.000000 982.272854
d1 0.030000 0.265224 StepDown 980.000000 983.273131
d1 0.030000 0.291686 StepDown 980.000000 983.273131
d1 0.030000 0.226790 StepDown 985.000000 983.273131
d1 0.030000 0.076630 StepDown 980.000000 983.273131
d1 0.030000 0.291927 StepDown 980.000000 983.273131
d1 0.030000 0.105895 StepDown 985.000000 983.273131
d1 0.030000 0.024624 StepDown 990.000000 989.274799
d1 0.030000 0.033045 StepDown 985.000000 986.273965
d1 0.030000 0.145199 StepDown 985.000000 983.273131
d1 0.030000 0.128423 StepDown 980.000000 983.273131
d1 0.030000 0.244606 StepDown 985.000000 983.273131
